belongs_to_collection;budget;first_genre;other_genres;original_language;overview;popularity;company;country;release_date;revenue;runtime;spoken_languages;tagline;title;vote_average;votecount;keywords
;9000000;Drama;Music Romance ;it;The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship  1900 (Tim Roth) learned about the outside world through interactions with passengers  never setting foot on land  even for the love of his life. Years later  the ship may be destroyed  and a former band member fears that 1900 may still be aboard  willing to go down with the ship.;5.711;Medusa Film;Italy;1998-10-28;0;170;en;A beatiful story of a man who could do anything... except be ordinary.;The Legend of 1900;8.3;934;ocean ship pianistin child prodigy fondling 
;4000000;Mystery;Crime Thriller ;es;The Invisible Guest? turns on a young businessman who wakes up in a hotel room locked from the inside with the dead body of his lover next to him. He hires a prestigious lawyer  and over one night they work together to clarify what happened in a frenetic race against time.;11.58;Think Studio;Spain;2016-09-22;30000000;106;es;;The Invisible Guest;8.2;1124;judge suspect interrogation false accusation of murder unreliable narrator confession of crime uncover truth accusation 
;0;Drama;;sv;A young nurse  Alma  is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects  but will not talk. As they spend time together  Alma speaks to Elisabeth constantly  never receiving any answer. Alma eventually confesses her secrets to a seemingly sympathetic Elisabeth and finds that her own personality is being submerged into Elisabeths persona.;6.017;Svensk Filmindustri (SF);Sweden;1966-10-18;0;85;sv;;Persona;8.2;599;nurse confession dream betrayal patient violence silence psychiatry submerged institution actress medical drama 
;160000000;Action;Thriller Science Fiction Mystery Adventure ;en;Cobb  a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: inception  the implantation of another persons idea into a targets subconscious.;23.384;Legendary Entertainment;United Kingdom;2010-07-15;825532764;148;en;Your mind is the scene of the crime.;Inception;8.2;19554;paris france spy philosophy hotel allegory dream virtual reality fistfight car crash rescue mission los angeles danger zero gravity imagination dream world idea subconscious 
The Lord of the Rings Collection;93000000;Adventure;Fantasy Action ;en;Young hobbit Frodo Baggins  after inheriting a mysterious ring from his uncle Bilbo  must leave his home in order to keep it from falling into the hands of its evil creator. Along the way  a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom  the only place where it can be destroyed.;44.549;New Line Cinema;New Zealand;2001-12-18;871368364;178;en;One ring to rule them all;The Lord of the Rings: The Fellowship of the Ring;8.2;12656;elves dwarf orcs middle-earth (tolkien) hobbit loss of loved one based on novel or book river mountain mine fireworks castle volcano power birthday party uncle addiction battle blizzard wizard journey ring sword and sorcery 
;35000000;Drama;War ;en;The true story of pianist Wladyslaw Szpilmans experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto  Szpilman finds work playing in a caf‚ and when his family is deported in 1942  he stays behind  works for a while as a laborer  and eventually goes into hiding in the ruins of the war-torn city.;10.043;Canal+ Polska;France;2002-09-24;120072577;150;ru;Music was his passion. Survival was his masterpiece.;The Pianist;8.2;3205;resistance holocaust hunger world war ii prisoner of war homeland ghetto deportation hiding place jew persecution liberation warsaw ghetto polish resistance nazi biography concert survival based on memoir or autobiography pianist poland 
The Hannibal Lecter Collection;19000000;Crime;Drama Thriller ;en;Clarice Starling is a top student at the FBIs training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter  a brilliant psychiatrist who is also a violent psychopath  serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling  as an attractive young woman  may be just the bait to draw him out.;3.886;Strong Heart/Demme Production;United States of America;1991-02-01;272742922;119;en;To enter the mind of a killer she must challenge the mind of a madman.;The Silence of the Lambs;8.2;7196;based on novel or book fbi kidnapping psychopath horror murder suspense serial killer psychological thriller cannibal moth cannibalism 
;0;Drama;Animation Romance ;ja;Shouya Ishida starts bullying the new girl in class  Shouko Nishimiya  because she is deaf. But as the teasing continues  the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school  Shouko and Shouya do not speak to each other again... until an older  wiser Shouya  tormented by his past behaviour  decides he must see Shouko once more. He wants to atone for his sins  but is it already too late...?;9.372;Kyoto Animation;Japan;2016-09-17;310407;130;ja;;A Silent Voice;8.2;722;friendship high school bullying coming of age based on manga deaf woman director sign language anime 
;0;Romance;Animation Fantasy ;ja;One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her  but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...;0.6;Brains Base;Japan;2011-09-17;0;45;ja;;Hotarubi no Mori e;8.2;229;supernatural slice of life based on manga spirit folklore japanese mythology anime 
;0;Comedy;Crime ;it;Best friends Peppe and Mario are thieves  but theyre not very good at it. Still  Peppe thinks that hes finally devised a master heist that will make them rich. With the help of some fellow criminals  he plans to dig a tunnel from a rented apartment to the pawnshop next door  where they can rob the safe. But his plan is far from foolproof  and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.;7.161;Lux Vide;Italy;1958-06-06;0;91;it;The Story of a Perfect Crime ... Perfectly Hilarious!;Big Deal on Madonna Street;8.2;217;boxer heist burglary safecracker tunnel 
;13000000;Drama;Comedy ;fr;A true story of two men who should never have met ? a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.;14.268;Gaumont;France;2011-11-02;426480871;113;en;Sometimes you have to reach into someone elses world to find out whats missing in your own.;The Intouchables;8.2;8468;male friendship masseuse friendship aristocrat interracial friendship unlikely friendship duringcreditsstinger 
;5000000;Western;;it;This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.;9.731;Paramount;Italy;1968-12-21;5321508;166;en;There were three men in her life. One to take her... one to love her... and one to kill her.;Once Upon a Time in the West;8.2;1743;loss of loved one showdown bounty bounty hunter sadness blackmail harmonica anti hero auction dying and death peasant insanity spaghetti western 
;20000000;Drama;Family ;en;The story of August Pullman ? a boy with facial differences ? who enters fifth grade  attending a mainstream elementary school for the first time.;21.264;Lionsgate;United States of America;2017-11-13;0;113;en;Are you ready to meet Auggie Pullman?;Wonder;8.2;2953;exclusion halloween bullying coney island prejudice school middle school based on childrens book family physical disability christmas treacher collins syndrome 
The Lord of the Rings Collection;79000000;Adventure;Fantasy Action ;en;Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli  Legolas and Aragorn search for the orc-captured Merry and Pippin. All along  nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.;23.539;New Line Cinema;New Zealand;2002-12-18;926287400;179;en;A New Power Is Rising.;The Lord of the Rings: The Two Towers;8.2;10922;elves dwarf orcs middle-earth (tolkien) hobbit based on novel or book explosive cave power fort army addiction mission attack guide split personality wizard ring sword and sorcery 
;0;Comedy;Drama ;pt;1980s. Brazilian television exploding in color and auditorium programs not so politically correct. In the middle of this fervor  Augusto Mendes  a young rising actor  seeks his place in the sun. From porn studios to soap operas  he finally finds success and fame when he becomes Bingo  a TV host clown from one of the audience leader TV shows for children. It turns out that behind the rice powder and red nose  nobody knows who he is.;6.264;Gullane Entretenimento S.A.;Brazil;2017-08-24;0;113;en;70% is inspiration  30% is whiskey;Bingo: The King of the Mornings;8.2;154;television clown fame 1980s 
